n_training_sample,error,upper_bound,lipschitz,hessian
128,12.612113,542.2513618210852,29.88622929367151,21.379952331804816
256,6.8366346,126.36829254289285,14.427459277763871,13.312155696225147
512,7.613736,121.40737717090063,14.141430286075733,13.780661949540956
1024,6.8745723,122.62124796765809,14.211949785465952,12.999850189401116
2048,8.069136,123.09668470071126,14.239474974515353,12.90736483824736
4096,8.591701,116.507312184912,13.853113423449791,12.74732713103964
8192,7.998387,827.2962543821944,36.91486865013296,18.62383058071373
16384,8.064036,124.16058428647906,14.300877030241017,13.29100316379504
