n_training_sample ,error     ,upper_bound        ,lipschitz          ,hessian
              128 ,7.6117783 , 94.78158476036464 ,112.673616046281   ,12.670269237423781
              256 ,5.861185  ,137.75955463065588 ,111.2403716104364  ,12.566897071782478
              512 ,6.755785  ,190.9858626488953  ,111.87316831611638 ,12.837107827565205
             1024 ,9.997805  ,255.09128150528034 ,121.6977853806986  ,13.048538458420808
             2048 ,8.69468   ,330.59447733096016 ,115.21986732853459 ,12.904689076726811
             4096 ,8.794069  ,417.91042039527935 ,109.0819011217665  ,13.065475806263066
             8192 ,7.2254267 ,517.3583254228855  ,112.82054327766744 ,13.490991014452675
            16384 ,8.227581  ,629.1691439656693  ,114.62328277853199 ,13.444282426262589
