n_training_sample,error,upper_bound,lipschitz,hessian
128,131.34705,2452.986925026733,67.1894080276629,62.94658570479896
256,10.286129,2497.472355849424,67.79591757074542,63.546118560489276
512,10.632544,2672.465818165043,70.13087825762024,66.38857916090637
1024,220.45813,2724.4971127916706,70.81029017528488,69.2855685060058
2048,127.72519,2393.207715362317,66.36565655603168,63.07751366380785
