n_training_sample, error       , upper_bound       , lipschitz        , hessian
              128,    7102.5957, 31104962.8378408  , 7566.029695491126, 4847.329348792846
              256, 2009672.2   , 34513468.67433292 , 7969.801459804332, 5300.450312979578
              512,  469574.12  , 23322178.631835952, 6551.454916685727, 4318.232123985887
             1024,   74324.41  , 28721088.658835024, 7270.322014376275, 4534.227116167545
             2048,  601774.4   , 26275082.27186519 , 6953.848750975669, 4461.188565362478
